Date	2022	2021	2020	2019
09-28-2021		1334997	568688	1998980
09-27-2021		1849171	797699	2368818
09-26-2021		2102155	873038	2452596
09-25-2021		1525438	659350	1966234
09-24-2021		2019891	826329	2547611
09-23-2021		1904732	826316	2510926
09-22-2021		1460478	608726	2188236
09-21-2021		1338166	549741	2033490
09-20-2021		1820152	769936	2431388
09-19-2021		2075468	847968	2517826
09-18-2021		1476269	638575	1938402
09-17-2021		1942337	812214	2571924
09-16-2021		1851345	784746	2455410
09-15-2021		1455913	577847	2146857
09-14-2021		1271516	522383	2013050
09-13-2021		1672895	729558	2405832
09-12-2021		1966456	809850	2485134
09-11-2021		1363653	613703	1879822
09-10-2021		1792979	731353	2484025
09-09-2021		1685668	755051	2449302
09-08-2021		1439804	616923	2005867
09-07-2021		1662932	704075	1943379
09-06-2021		2025556	935308	2292985
09-05-2021		1630786	689630	2370003
09-04-2021		1545955	664640	1755502
09-03-2021		2129999	968673	2198828
09-02-2021		1896846	877698	2109858
09-01-2021		1465197	578131	1889044
08-31-2021		1345064	516068	2037750
08-30-2021		1629475	711178	2278159
08-29-2021		1900658	807695	1887845
08-28-2021		1511294	591734	1954902
08-27-2021		1853622	738873	2658558
08-26-2021		1826310	721060	2561109
08-25-2021		1539707	540043	2188688
08-24-2021		1468219	523186	2015088
08-23-2021		1820355	726788	2358007
08-22-2021		1965020	841806	2493162
08-21-2021		1685462	625822	2039233
08-20-2021		1990608	764468	2559244
08-19-2021		1945026	772380	2533184
08-18-2021		1678231	586718	2306838
08-17-2021		1607238	565946	2247446
08-16-2021		1980585	773319	2576965
08-15-2021		2114166	862949	2584444
08-14-2021		1811767	689895	2171962
08-13-2021		2065379	783744	2627564
08-12-2021		2045301	761821	2602446
08-11-2021		1761348	590749	2391906
08-10-2021		1727075	559420	2306829
08-09-2021		2022858	761861	2567986
08-08-2021		2168264	831789	2647897
08-07-2021		1925641	683212	2290340
08-06-2021		2109091	762547	2725000
08-05-2021		2063720	743599	2707986
08-04-2021		1855299	595739	2430094
08-03-2021		1797120	543601	2387115
08-02-2021		2031758	737235	2619406
08-01-2021		2238462	799861	2688640
07-31-2021		2007412	709033	2367967
07-30-2021		2198585	767320	2730936
07-29-2021		2127634	718310	2742882
07-28-2021		1923980	573200	2542365
07-27-2021		1858328	536756	2438967
07-26-2021		2124474	700043	2613346
07-25-2021		2177129	751205	2700723
07-24-2021		1942871	649027	2364925
07-23-2021		2159300	724770	2732770
07-22-2021		2101343	704815	2705399
07-21-2021		1934918	570951	2561911
07-20-2021		1871986	530421	2499460
07-19-2021		2141429	695330	2635312
07-18-2021		2227704	747422	2727355
07-17-2021		1979981	646654	2396462
07-16-2021		2199815	720378	2776960
07-15-2021		2152053	706164	2716828
07-14-2021		1900945	589285	2522563
07-13-2021		1832878	540268	2447177
07-12-2021		2093066	697985	2615115
07-11-2021		2198635	754545	2669717
07-10-2021		1987652	656284	2312178
07-09-2021		2147903	711124	2716812
07-08-2021		2027364	709653	2608209
07-07-2021		1880160	632498	2515902
07-06-2021		1889911	641761	2506859
07-05-2021		2160147	755555	2748718
07-04-2021		1681896	732123	2795369
07-03-2021		1915017	466669	2345846
07-02-2021		2196411	718988	2184253
07-01-2021		2147090	764761	2088760
06-30-2021		1920663	626516	2547889
06-29-2021		1808306	500054	2347767
06-28-2021		2066964	625235	2455536
06-27-2021		2167380	633810	2632030
06-26-2021		1918705	546310	2368846
06-25-2021		2137584	632984	2730515
06-24-2021		2085327	623624	2711222
06-23-2021		1801329	494826	2594661
06-22-2021		1795141	471421	2506510
06-21-2021		2030577	607540	2716428
06-20-2021		2100761	590456	2719643
06-19-2021		1882381	507129	2378559
06-18-2021		2081115	587908	2772903
06-17-2021		2039425	576514	2728786
06-16-2021		1792370	441829	2552395
06-15-2021		1678688	417924	2466574
06-14-2021		1800954	534528	2699580
06-13-2021		2097433	544046	2642083
