Date	Footfall_count
03-31-2021	1562239
04-01-2021	1580785
04-02-2021	1397958
04-03-2021	1543474
04-04-2021	1561959
04-05-2021	1195306
04-06-2021	1230939
04-07-2021	1510829
04-08-2021	1549181
04-09-2021	1378237
04-10-2021	1561495
04-11-2021	1468972
04-12-2021	1085034
04-13-2021	1152703
04-14-2021	1491435
04-15-2021	1468218
04-16-2021	1277815
04-17-2021	1572383
04-18-2021	1412500
04-19-2021	1082443
04-20-2021	1164099
04-21-2021	1509649
04-22-2021	1521393
04-23-2021	1259724
04-24-2021	1571220
04-25-2021	1369410
04-26-2021	1077199
04-27-2021	1184326
04-28-2021	1526681
04-29-2021	1558553
04-30-2021	1335535
05-01-2021	1626962
05-02-2021	1463672
05-03-2021	1134103
05-04-2021	1268938
05-05-2021	1644050
05-06-2021	1703267
05-07-2021	1429657
05-08-2021	1707805
05-09-2021	1657722
05-10-2021	1315493
05-11-2021	1424664
05-12-2021	1743515
05-13-2021	1716561
05-14-2021	1453267
05-15-2021	1850531
05-16-2021	1734541
05-17-2021	1408017
05-18-2021	1496089
05-19-2021	1728496
05-20-2021	1820433
05-21-2021	1550044
05-22-2021	1863697
05-23-2021	1747353
05-24-2021	1470840
05-25-2021	1618169
05-26-2021	1854534
05-27-2021	1959593
05-28-2021	1605810
05-29-2021	1650454
05-30-2021	1900170
05-31-2021	1682752
06-01-2021	1587910
06-02-2021	1815931
06-03-2021	1879885
06-04-2021	1681192
06-05-2021	1984658
06-06-2021	1828396
06-07-2021	1560561
06-08-2021	1669537
06-09-2021	1975189
06-10-2021	2028961
06-11-2021	1812797
06-13-2021	2097433
06-14-2021	1800954
06-15-2021	1678688
06-16-2021	1792370
06-17-2021	2039425
06-18-2021	2081115
06-19-2021	1882381
06-20-2021	2100761
06-21-2021	2030577
06-22-2021	1795141
06-23-2021	1801329
06-24-2021	2085327
06-25-2021	2137584
06-26-2021	1918705
06-27-2021	2167380
06-28-2021	2066964
06-29-2021	1808306
06-30-2021	1920663
07-01-2021	2147090
07-02-2021	2196411
07-03-2021	1915017
07-04-2021	1681896
07-05-2021	2160147
07-06-2021	1889911
07-07-2021	1880160
07-08-2021	2027364
07-09-2021	2147903
07-10-2021	1987652
07-11-2021	2198635
07-12-2021	2093066
07-13-2021	1832878
07-14-2021	1900945
07-15-2021	2152053
07-16-2021	2199815
07-17-2021	1979981
07-18-2021	2227704
07-19-2021	2141429
07-20-2021	1871986
07-21-2021	1934918
07-22-2021	2101343
07-23-2021	2159300
07-24-2021	1942871
07-25-2021	2177129
07-26-2021	2124474
07-27-2021	1858328
07-28-2021	1923980
07-29-2021	2127634
07-30-2021	2198585
07-31-2021	2007412
08-01-2021	2238462
08-02-2021	2031758
08-03-2021	1797120
08-04-2021	1855299
08-05-2021	2063720
08-06-2021	2109091
08-07-2021	1925641
08-08-2021	2168264
08-09-2021	2022858
08-10-2021	1727075
08-11-2021	1761348
08-12-2021	2045301
08-13-2021	2065379
08-14-2021	1811767
08-15-2021	2114166
08-16-2021	1980585
08-17-2021	1607238
08-18-2021	1678231
08-19-2021	1945026
08-20-2021	1990608
08-21-2021	1685462
08-22-2021	1965020
08-23-2021	1820355
08-24-2021	1468219
08-25-2021	1539707
08-26-2021	1826310
08-27-2021	1853622
08-28-2021	1511294
08-29-2021	1900658
08-30-2021	1629475
08-31-2021	1345064
09-01-2021	1465197
09-02-2021	1896846
09-03-2021	2129999
09-04-2021	1545955
09-05-2021	1630786
09-06-2021	2025556
09-07-2021	1662932
09-08-2021	1439804
09-09-2021	1685668
09-10-2021	1792979
09-11-2021	1363653
09-12-2021	1966456
09-13-2021	1672895
09-14-2021	1271516
09-15-2021	1455913
09-16-2021	1851345
09-17-2021	1942337
09-18-2021	1476269
09-19-2021	2075468
09-20-2021	1820152
09-21-2021	1338166
09-22-2021	1460478
09-23-2021	1904732
09-24-2021	2019891
09-25-2021	1525438
09-26-2021	2102155
09-27-2021	1849171
09-28-2021	1334997
09-29-2021	1448369
09-30-2021	1934592
10-01-2021	2011794
10-02-2021	1534114
10-03-2021	2100167
10-04-2021	1842054
10-05-2021	1390201
10-06-2021	1563565
10-07-2021	2063090
10-08-2021	2169783
10-09-2021	1645563
10-10-2021	2086146
10-11-2021	2083627
10-12-2021	1695970
10-13-2021	1641419
10-14-2021	2048398
10-15-2021	2070878
10-16-2021	1704466
10-17-2021	2213296
10-18-2021	2001297
10-19-2021	1446353
10-20-2021	1647089
10-21-2021	2046694
10-22-2021	2108582
10-23-2021	1626185
10-24-2021	2107839
10-25-2021	1989373
10-26-2021	1503587
10-27-2021	1547075
10-28-2021	1927041
10-29-2021	1982773
10-30-2021	1518020
10-31-2021	1845965
11-01-2021	1992577
11-02-2021	1487874
11-03-2021	1525948
11-04-2021	1940302
11-05-2021	2035406
11-06-2021	1527465
11-07-2021	2152721
11-08-2021	1955530
11-09-2021	1456657
11-10-2021	1691526
11-11-2021	2064753
11-12-2021	2001439
11-13-2021	1559772
11-14-2021	2150150
11-15-2021	2010601
11-16-2021	1491890
11-17-2021	1624511
11-18-2021	2044545
11-19-2021	2242956
11-20-2021	2004579
11-21-2021	2213716
11-22-2021	2081064
11-23-2021	2207949
11-24-2021	2311978
11-25-2021	1382230
11-26-2021	1778983
11-27-2021	2208192
11-28-2021	2451300
11-29-2021	2237087
11-30-2021	1810460
12-01-2021	1660506
12-02-2021	1866275
12-03-2021	1952294
12-04-2021	1566729
12-05-2021	2068792
12-06-2021	1854048
12-07-2021	1459054
12-08-2021	1610785
12-09-2021	1959937
12-10-2021	2045674
12-11-2021	1669737
12-12-2021	2040364
12-13-2021	1912915
12-14-2021	1520251
12-15-2021	1762920
12-16-2021	2062579
12-17-2021	2233754
12-18-2021	2035273
12-19-2021	2118528
12-20-2021	2098540
12-21-2021	1979089
12-22-2021	2081297
12-23-2021	2187792
12-24-2021	1709601
12-25-2021	1533398
12-26-2021	2070554
12-27-2021	2089186
12-28-2021	1995747
12-29-2021	2017937
12-30-2021	2049604
12-31-2021	1650795
01-01-2022	1616316
01-02-2022	2023309
01-03-2022	1916499
01-04-2022	1666715
01-05-2022	1493235
01-06-2022	1533544
01-07-2022	1502714
01-08-2022	1449698
